region,region_code,district_code,lga,ward,subvillage
Mbeya,12,1,Chunya,Gua,Gua C
Kagera,18,6,Bukoba Urban,Nishambya,Bushaga
Mbeya,12,7,Mbarali,Mapogoro,Tambuka Relini
Ruvuma,10,5,Namtumbo,Rwinga,Ligange
Arusha,24,30,Karatu,Oldeani,Kiwanja
Morogoro,5,1,Kilosa,Ulaya,Mbuyunu Kati
Mwanza,19,4,Kwimba,Malya,Kitunga C
Singida,13,2,Singida Rural,Dung'unyi,Miyombwe
Dodoma,1,4,Chamwino,Segala,Kawawa
Tanga,4,6,Handeni,Mgambo,Maguruwe
Kilimanjaro,3,7,Siha,Siha Kaskazini,Omaro Mosini
Lindi,8,3,Nachingwea,Kipara Mnero,Nanjati
Rukwa,15,3,Nkasi,Kipande,Mageuzi
Kilimanjaro,3,1,Rombo,Kirwa Keni,Kinyauri
Iringa,11,1,Iringa Rural,Ifunda,Kibugumo
Arusha,2,7,Meru,Maji ya Chai,Mburyashi
Ruvuma,10,5,Namtumbo,Lusewa,Msamala
Shinyanga,17,5,Bukombe,Mbogwe,Itimbya
Mara,20,4,Bunda,Igundu,Songe
Ruvuma,10,5,Namtumbo,Magazini,Majengo
Mara,20,6,Rorya,Nyathorogo,Uwanja Wa Mpira
Kigoma,16,3,Kigoma Rural,Matendo,Kafunzo
Dodoma,1,4,Chamwino,Dabalo,Nayu Ruvu
Mara,20,2,Serengeti,Kebanchabancha,Bumunyo
Mwanza,17,1,Magu,Nkungulu,Ngesha
Kigoma,16,3,Kigoma Rural,Mwandiga,Kazegunga B
Morogoro,5,1,Kilosa,Kisanga,Kikonga
Kilimanjaro,3,5,Hai,Machame Kusini,Weruweru
Ruvuma,10,2,Songea Rural,Magagura,Maumbika
Dodoma,1,4,Chamwino,Chilionwa,Nonya
Singida,13,1,Iramba,Ibaga,Mitogo Miwili
Mara,20,3,Musoma Rural,Masaba,Nyabihengo
Kilimanjaro,3,1,Rombo,Kisale Msangara,Kala
Ruvuma,10,1,Tunduru,Ligoma,Magomeni A
Rukwa,15,3,Nkasi,Kipande,No 1
Mwanza,19,2,Magu,Ngasamo,Nyangoko C
Ruvuma,10,2,Songea Rural,Wino,Mapinduzi B
Ruvuma,10,2,Songea Rural,Mpitimbi,Umbalo A
Mtwara,90,33,Masasi,Namalenga,Mtukula
Tabora,14,1,Nzega,Miguwa,Shininga
Morogoro,5,3,Kilombero,Kibaoni,Mangungu
Mbeya,12,1,Chunya,Ngwala,Azimio
Mbeya,12,3,Kyela,Kyela Urban,Kyela Kati
Pwani,6,3,Kisarawe,Mzenga,Mitengwe Mashariki
Kagera,18,7,Misenyi,Kitobo,Bubuga
Shinyanga,17,3,Shinyanga Rural,Samuye,Mwalula
Iringa,11,4,Njombe,Usuka,Ulanga
Arusha,2,2,Arusha Rural,Ilkiding'a,Ileza
Manyara,21,1,Babati,Magara,Mayoka C
Rukwa,15,1,Mpanda,Katumba,Mwalu
Mtwara,99,1,Mtwara Rural,Kiromba,Shuleni
Manyara,21,4,Simanjiro,Orkesumet,Mkumbi
Iringa,11,4,Njombe,Matola,Kinenulo
Tabora,14,1,Nzega,Nzega Urban,Nzega Kati
Kilimanjaro,3,5,Hai,Masama Magharibi,Nkwansira
Tabora,14,1,Nzega,Mwakanshashala,Kalangale
Mtwara,99,1,Mtwara Rural,Njengwa,Jamaika
Morogoro,5,6,Mvomero,Kanga,Kaole
Shinyanga,17,3,Shinyanga Rural,Itwangi,Mwakasowa
Kigoma,16,2,Kasulu,Nyamnyusi,Lugoma
Shinyanga,17,1,Bariadi,Mhunze,Shuleni
Morogoro,5,2,Morogoro Rural,Kidugalo,Kudiembe
Ruvuma,10,1,Tunduru,Kidodoma,Mtonga
Shinyanga,17,1,Bariadi,Chinamili,Ng'Engwambula
Kigoma,16,1,Kibondo,Muhange,Bizivilinzamba A
Ruvuma,10,3,Mbinga,Kilimani,Mhekela Kati
Iringa,11,1,Iringa Rural,Mseke,Mang'Ula A
Dodoma,1,1,Mpwapwa,Chunyu,Ilolo
Morogoro,5,3,Kilombero,Mang'ula,Kisiwani
Ruvuma,10,1,Tunduru,Matemanga,Jallasi
Iringa,11,1,Iringa Rural,Nzihi,Ilalasimba
Mara,20,2,Serengeti,Machochwe,Kerenero
Tanga,4,8,Mkinga,Maramba,Kibaoni
Kagera,18,1,Karagwe,Ndama,Rwakilomi
Mbeya,12,6,Mbozi,Kamsamba,Malangwa
Dodoma,1,4,Chamwino,Makang'wa,Tupa
Arusha,2,7,Meru,Nkoaranga,Nkoangiroyi
Mtwara,99,1,Mtwara Rural,Kitere,Mkwajuni
Shinyanga,17,3,Kahama,Igwamanoni,Nyakashatala
Ruvuma,10,2,Songea Rural,Kilagano,Miembeni
Arusha,2,3,Arusha Urban,Daraja Mbili,Darajani
Mbeya,12,4,Rungwe,Suma,Masa Chini
Kilimanjaro,3,3,Same,Mtii,Kanza Juu
Arusha,2,2,Arusha Rural,Ilkiding'a,Lobulu
Kilimanjaro,3,2,Mwanga,Kighare,Mgombela
Mwanza,19,4,Kwimba,Mwagi,Mwagi A
Dodoma,1,5,Dodoma Urban,Nala,Msembeta
Mbeya,12,6,Mbozi,Ihanda,Ntanzu
Mwanza,19,7,Missungwi,Misasi,Misasi Juu
Kigoma,16,3,Kigoma Rural,Mahembe,Kichangachuwi
Mbeya,12,4,Rungwe,Lupata,Mbongolo
Shinyanga,17,1,Bariadi,Bumera,Wala
Kigoma,16,1,Kibondo,Kibondo Urban,Kumwai
Ruvuma,10,3,Mbinga,Kilosa,Kilosa Kati
Kilimanjaro,3,7,Siha,Siha Kaskazini,Maini
Ruvuma,10,2,Songea Rural,Muhukuru,Nsengo
Mara,20,3,Musoma Rural,Bukumi,Mwikungu
Singida,13,1,Iramba,Mtekente,Mnadani
Dodoma,1,1,Mpwapwa,Mlunduzi,Ofisini
Mara,20,1,Tarime,Sirari,Nyehunyo
Mara,20,3,Musoma Rural,Bwiregi,Central
Iringa,11,1,Iringa Rural,Ilolo Mpya,Msegelele
Arusha,2,2,Arusha Rural,Moivo,Ilboru
Rukwa,15,4,Sumbawanga Urban,Kasense,Ilambila
Iringa,11,4,Njombe,Matola,Godauni
Rukwa,15,4,Sumbawanga Urban,Mazwi,Uwanja Wa Ndege
Dodoma,1,3,Kongwa,Kibaigwa,
Rukwa,15,1,Mpanda,Utende,Kanoge B
Rukwa,15,3,Nkasi,Kirando,Ipya
Kilimanjaro,3,5,Hai,Masama Rundugai,Darajani
Arusha,2,6,Longido,Gelai Meirugoi,Orpura
Dodoma,1,1,Mpwapwa,Lumuma,Mluwa
Kigoma,16,3,Kigoma Urban,Kitongoni,Mwamko
Tabora,14,1,Nzega,Mwamala,Kashishi
Kagera,18,30,Ngara,Kibimba,Rubona
Dodoma,1,1,Kondoa,Mpendo,Mpendo -Kati
Iringa,11,4,Njombe,Igosi,Fuka
Kilimanjaro,3,7,Siha,Siha Kaskazini,Omaro
Shinyanga,17,1,Bariadi,Gamboshi,Mwashela
Morogoro,5,3,Kilombero,Mofu,Mission
Ruvuma,10,1,Tunduru,Mchesi,Milimbo
Kagera,18,1,Karagwe,Kiruruma,Biyungu
Kilimanjaro,3,5,Hai,Masama Mashariki,Njamu
Singida,13,3,Manyoni,Chikuyu,Koro
Manyara,21,2,Hanang,Hidet,Doroti
Mtwara,99,1,Mtwara Rural,Kitere,Nahumi
Lindi,80,13,Kilwa,Miteja,Kizingo
Morogoro,5,6,Mvomero,Melela,Melela
Arusha,2,2,Arusha Rural,Ilkiding'a,Mula
Arusha,24,30,Karatu,Daa,Yudek
Kigoma,16,3,Kigoma Rural,Uvinza,Tulashashe
Kilimanjaro,3,3,Same,Bendera,Mrango
Iringa,11,5,Ludewa,Lupanga,Kijiweni
Shinyanga,17,8,Kishapu,Uchunga,Dugushilu
Singida,13,2,Singida Rural,Ihanja,Khambi
Kilimanjaro,3,5,Hai,Masama Mashariki,Mbweera
Tanga,4,6,Handeni,Chanika,Mantindi
Ruvuma,10,5,Namtumbo,Rwinga,Mwaya
Kigoma,16,3,Kigoma Rural,Simbo,Stendi
Shinyanga,17,6,Meatu,Lubiga,Luhangija
Ruvuma,10,3,Mbinga,Lipingo,Mbeya
Kagera,18,4,Biharamulo,Kalenge,Kitegwa
Mwanza,19,1,Ukerewe,Muriti,Lubambangoma
Dar es Salaam,7,1,Kinondoni,Mbezi,Msumi
Iringa,11,4,Njombe,Matola,Ostabey
Kigoma,16,1,Kibondo,Muhange,Ktaokwa
Lindi,80,62,Lindi Rural,Tandangongoro,Kumbaila
Mwanza,19,5,Sengerema,Buyagu,Nyalulama
Kilimanjaro,3,4,Moshi Rural,Makuyuni,Parokia
Manyara,21,2,Hanang,Bassotu,Dahayeda
Dodoma,1,1,Kondoa,Kingale,Kati
Tanga,4,6,Handeni,Sindeni,Komfungo A
Tabora,14,3,Uyui,Usagali,Kakulungu
Singida,13,1,Iramba,Nkinto,Ng'Wabiha
Ruvuma,10,4,Songea Urban,Mletele,Nonganonga
Iringa,11,4,Njombe,Usuka,Dulamu
Kagera,18,4,Biharamulo,Runazi,Kahogo
Mara,20,3,Musoma Rural,Buhemba,Mirwa
Kagera,18,1,Karagwe,Kiruruma,Rwamrinda
Iringa,11,4,Njombe,Mtwango,Ikelu
Tanga,4,2,Korogwe,Mkalamo,Kweisasa
Shinyanga,17,2,Maswa,Malampaka,Lali
Rukwa,15,4,Sumbawanga Urban,Milanzi,Kiwere
Kigoma,16,1,Kibondo,Kasanda,Rukoto
Ruvuma,10,5,Namtumbo,Mkongo,Dodoma
Rukwa,15,3,Nkasi,Namanyere,Lalasimba
Rukwa,15,3,Nkasi,Wampelembe,Lolesha
Singida,13,1,Iramba,Mdago,Kibaya Magharibi
Mtwara,90,33,Masasi,Chigungu,Chutope
Mwanza,19,4,Kwimba,Mwagi,Itinje
Mwanza,19,2,Magu,Sukuma,Bugando
Arusha,2,5,Ngorongoro,Naiyobi,Engomei
Iringa,11,7,Kilolo,Ukumbi,Njiapanda
Shinyanga,17,2,Maswa,Sukuma,Zabazaba
Mbeya,12,7,Mbarali,Madibira,Ikulu
Shinyanga,17,3,Kahama,Mwendakulima,Mwime Kati
Tanga,4,4,Tanga,Tongoni,Mwarongo
Shinyanga,17,3,Shinyanga Rural,Didia,Mwangoye
Tanga,4,3,Muheza,Kwafungo,Mandera
Morogoro,5,1,Kilosa,Dumila,Malindi
Iringa,11,5,Ludewa,Madilu,Mfalasi
Shinyanga,17,1,Bariadi,Bunamhala,Mwaruhilo
Kigoma,16,4,Kigoma Urban,Majengo,Lusimbi
Arusha,2,2,Arusha Rural,Nduruma,Olidendereiti
Mwanza,19,4,Kwimba,Mwagi,Nyanguku B
Iringa,11,4,Njombe,Matola,Ikondo
Morogoro,5,2,Morogoro Rural,Bwakila Chini,Misufini
Rukwa,15,3,Nkasi,Kabwe,Vibandani
Kilimanjaro,3,4,Moshi Rural,Kibosho Magharibi,Sereni
Mbeya,12,3,Kyela,Makwale,Mchangani
Mwanza,19,6,Geita,Nyugwa,Mimbili Center
Morogoro,5,1,Kilosa,Kidodi,Ngwila
Mbeya,12,7,Mbarali,Ubaruku,Tupendane
Iringa,11,5,Ludewa,Mlangali,Itoki
Kilimanjaro,3,3,Same,Vunta,Ngujini
Mwanza,19,4,Kwimba,Mwandu,Bulyamuru
Mwanza,19,4,Kwimba,Ngulla,Mhulya
Shinyanga,17,3,Shinyanga Rural,Imesela,Kitunda
Pwani,6,1,Bagamoyo,Yombo,Kiyegea B
Lindi,80,53,Ruangwa,Luchelegwa,Gulioni
Kilimanjaro,3,5,Hai,Masama Mashariki,Kyangwe
Morogoro,5,4,Ulanga,Malinyi,Mwembeni
Arusha,24,30,Karatu,Mbulumbulu,Juu
Mtwara,90,33,Masasi,Nanjota,Ofisini
Arusha,2,6,Longido,Ketumbeine,Ndaleta
Tanga,4,1,Lushoto,Vuga,Mwao
Tanga,4,1,Lushoto,Ubiri,Machame
Manyara,21,1,Babati,Dabil,Lehodeshi
Kilimanjaro,3,4,Moshi Rural,Mamba Kusini,Msengoni
Ruvuma,10,1,Tunduru,Misechela,Kanyomwa
Singida,13,2,Singida Rural,Irisya,Mughondwe
Tanga,4,5,Pangani,Mkwaja,Mikocheni
Mwanza,19,4,Kwimba,Sumve,Buchela
Singida,13,3,Manyoni,Manyoni,Madukani
Mtwara,90,33,Masasi,Mwena,Njenga
Kigoma,16,3,Kigoma Rural,Mahembe,Mahembe Kati
Mtwara,9,5,Mtwara Urban,Ufukoni,Shangani
Mtwara,9,4,Tandahimba,Mnyawa,Sido
Arusha,2,1,Monduli,Engaruka,Mwembeni
Singida,13,2,Singida Rural,Irisya,Muhitu
Mara,20,3,Musoma Rural,Kukirango,Geniver
Tabora,14,2,Igunga,Choma,Mbuyuni
Pwani,6,4,Mkuranga,Magawa,Nyatupa
Mwanza,19,7,Missungwi,Buhingo,Kabale
Tabora,14,3,Uyui,Usagali,Migungumalo
Iringa,11,1,Iringa Rural,Nzihi,Kipengele
Morogoro,5,6,Mvomero,Kanga,Kichangani
Kagera,18,2,Bukoba Rural,Buhendangabo,Bweigiro
Lindi,80,23,Lindi Rural,Nyangao,Cheleweni B
Kagera,18,1,Karagwe,Ndama,Mkakajinja
Mtwara,90,33,Newala,Chilangala,Liumbo
Shinyanga,17,2,Maswa,Lalago,Sulu A
Dodoma,1,1,Mpwapwa,Kimagai,Chang'Ombe A
Dar es Salaam,7,2,Ilala,Chanika,Mtaa Wa Lubakaya
Kilimanjaro,3,3,Same,Mhezi,Zahanati
Mbeya,12,2,Mbeya Rural,Utengule Usongwe,Iwanga Shuleni
Iringa,11,3,Makete,Lupila,Kidingili
Mwanza,19,4,Kwimba,Iseni,Nyamikoma B
Tabora,14,1,Nzega,Mambali,Mbutu Kati
Kagera,18,7,Misenyi,Kassambya,Nyabihanga
Mtwara,9,5,Mtwara Urban,Jangwani,Kisungule B
Tanga,4,1,Lushoto,Bumbuli,Galambo
Kilimanjaro,3,2,Mwanga,Jipe,Kivisini A
Iringa,11,1,Iringa Rural,Lumuli,Kilimahewa A
Ruvuma,10,2,Songea Rural,Litisha,Lundusi
Tabora,14,5,Sikonge,Sikonge,Kisanga Kati
Tabora,14,1,Nzega,Nzega ndogo,Undomo Cheyo
Tanga,4,1,Lushoto,Mtae,Ruvu B
Mbeya,12,6,Mbozi,Nyimbili,Ngeke
Shinyanga,17,6,Meatu,Mwanjoro,Mwabalomolomu
Iringa,11,4,Njombe,Idamba,Iguluka
Iringa,11,1,Iringa Rural,Mlowa,Ndorobo A
Mtwara,9,4,Tandahimba,Mkundi,Madina
Mbeya,12,6,Mbozi,Ndalambo,Kamsunte
Iringa,11,3,Makete,Lupila,Ng`Ongo
Kilimanjaro,3,5,Hai,Machame Kaskazini,Kisau
Mtwara,9,4,Tandahimba,Luagala,Idamnole
Mtwara,90,33,Newala,Luchingu,Kota
Arusha,2,5,Ngorongoro,Pinyinyi,Pinyinyi
Kilimanjaro,3,4,Moshi Rural,Kilema kaskazini,Mkuu
Kagera,18,1,Karagwe,Nkwenda,Migina
Tanga,4,1,Lushoto,Vuga,Kwemhafa
Morogoro,5,3,Kilombero,Mbingu,Namalumbo
Shinyanga,17,5,Bukombe,Nyasato,Ndebelwa A
Iringa,11,4,Njombe,Igongolo,Mjimwema
Iringa,11,1,Iringa Rural,Nzihi,Chelesi
Mara,20,2,Serengeti,Kisaka,Kenyamugabo
Shinyanga,17,2,Maswa,Nyabubinza,Nyang'Huba
Shinyanga,17,3,Kahama,Chambo,Nyawishi B
Shinyanga,17,3,Shinyanga Rural,Salawe,Zunzuli
Ruvuma,10,5,Namtumbo,Luegu,Madukani
Shinyanga,17,1,Bariadi,Mwaswale,Samu
Morogoro,5,6,Mvomero,Mlali,Kipera Njiapanda
Kigoma,16,3,Kigoma Rural,Mkigo,Shonge
Mwanza,19,7,Missungwi,Usagara,Nyamasekela
Iringa,11,4,Njombe,Luduga,Sosola
Kilimanjaro,3,3,Same,Mwembe,Ngunguru
Pwani,6,1,Bagamoyo,Chalinze,Mgudeni
Kilimanjaro,3,2,Mwanga,Kileo,Kituri B
Shinyanga,17,1,Bariadi,Gamboshi,Isabanda
Kigoma,16,1,Kibondo,Rugongowe,Mbugani
Dodoma,1,1,Mpwapwa,Rudi,Jamuhuri
Kagera,18,4,Biharamulo,Lusahunga,Kikoma
Singida,13,1,Iramba,Kyengege,Magali
Mara,20,2,Serengeti,Nyamoko,Madukani /Center
Shinyanga,17,5,Bukombe,Iyogela,Mtakuja
Kagera,18,30,Ngara,Murusagamba,Murusagamba
Tanga,4,1,Lushoto,Vuga,Emao
Kigoma,16,3,Kigoma Rural,Kalinzi,Kisozi
Morogoro,5,4,Ulanga,Vigoi,Epanko Kati
Mwanza,19,4,Kwimba,Mwakilyambiti,Isagubu A
Arusha,2,7,Meru,Leguruki,Mlombeni
Kigoma,16,1,Kibondo,Kitahana,Nyabasengo B
Mwanza,19,2,Magu,Nyaluhande,Bulyaheke
Mwanza,19,4,Kwimba,Hungumalwa,Ilula Mashariki
Rukwa,15,2,Sumbawanga Rural,Mambwekenya,Nyanzwa
Iringa,11,4,Njombe,Matola,Mabibo
Shinyanga,17,1,Bariadi,Somanda,Ilugala
Dodoma,1,1,Mpwapwa,Chunyu,Kiegea
Morogoro,5,1,Kilosa,Mamboya,Idete
Iringa,11,4,Njombe,Igongolo,Matanana
Mbeya,12,5,Ileje,Ndola,Isagamba
Manyara,21,2,Hanang,Nangwa,Rabai
Manyara,21,1,Babati,Arri,Melehasi
Shinyanga,17,5,Bukombe,Bukombe,Bukombe Centre
Tanga,4,1,Lushoto,Mbaramo,Mavumbi
Mwanza,19,1,Ukerewe,Karenge,Mlimani
Rukwa,15,2,Sumbawanga Rural,Sopa,Mbingirwe
Arusha,2,6,Longido,Longido,Oldorko
Mbeya,12,4,Rungwe,Lwangwa,Butumba
Mwanza,19,2,Magu,Bujashi,Njinjila
Mbeya,12,6,Mbozi,Ihanda,Legeza Mwendo
Kagera,18,6,Bukoba Urban,Kahororo,Kyaya
Mbeya,12,5,Ileje,Chitete,Izwranguo
Shinyanga,17,3,Shinyanga Rural,Samuye,Mahushi
Kigoma,16,3,Kigoma Rural,Mwamgongo,Kumsenga
Kilimanjaro,3,3,Same,Njoro,Migaera B
Shinyanga,17,1,Bariadi,Bumera,Ng'Humguluma
Lindi,80,53,Ruangwa,Nkowe,Mpumbe
Mtwara,90,33,Masasi,Sindano,Chipapa
Tanga,4,1,Lushoto,Kwai,Mgosigwa
Ruvuma,10,1,Tunduru,Namasakata,Mnaweni B
Mtwara,90,33,Newala,Chitekete,Madukani
Tanga,4,2,Korogwe,Mazinde,Mazinde Antakae
Kagera,18,1,Karagwe,Kihanga,Omukalama
Mwanza,19,7,Missungwi,Kasololo,Nyasamba
Tanga,4,2,Korogwe,Kwagunda,Michungwani
Singida,13,2,Singida Rural,Ikungu,Mitunyo
Pwani,6,2,Mkuranga,Magawa,Nyangunguti
Kilimanjaro,3,4,Moshi Rural,Kahe Mashariki,Papliki
Shinyanga,17,6,Meatu,Nkoma,Lyusa
Kilimanjaro,3,1,Rombo,Keni Mengeni,Kasese
Kagera,18,1,Karagwe,Isingiro,Isingiro Stati
Iringa,11,5,Ludewa,Luana,Mbwila Kati
Shinyanga,17,8,Kishapu,Mwamashele,Ishigwandama
Tabora,14,2,Igunga,Igunga,Komando
Mwanza,19,2,Magu,Igalukilo,Buchela
Dodoma,1,1,Kondoa,Haubi,Msedi
Kagera,18,1,Karagwe,Nyaishozi,Omurusimbi
Morogoro,5,2,Morogoro Rural,Mkuyuni,Mkuyuni A
Rukwa,15,4,Sumbawanga Urban,Kasense,Kansha
Lindi,80,53,Ruangwa,Malolo,Nandumbili
Ruvuma,10,2,Songea Rural,Maposeni,Sekondari
Kagera,18,1,Karagwe,Isingiro,Rukuraijo
Pwani,60,53,Rufiji,Ikwiriri,Mgomba Kaskazini
Ruvuma,10,3,Mbinga,Ngima,Majimaji Magengeni
Dodoma,1,1,Kondoa,Goima,Kindu
Iringa,11,7,Kilolo,Irole,Mifugoni A
Lindi,80,13,Kilwa,Kivinje Singino,Kijijini
Kigoma,16,2,Kasulu,Rungwe Mpya,Mlambo
Mbeya,12,6,Mbozi,Iyula,Isenga
Rukwa,15,3,Nkasi,Chala,Mbugani
Singida,13,2,Singida Rural,Issuwa,Misoghoo
Pwani,6,1,Bagamoyo,Chalinze,Kudikula
Ruvuma,10,3,Mbinga,Ngima,Wukiro 'B'
Shinyanga,17,1,Bariadi,Lagangabilili,Mwakilunguje
Morogoro,5,6,Mvomero,Mvomero,Chambika
Dodoma,1,1,Mpwapwa,Luhundwa,Ilolo
Dodoma,1,5,Dodoma Urban,Mpunguzi,Kawawa
Tanga,4,6,Handeni,Kwamkonje,Komkole
Kilimanjaro,3,4,Moshi Rural,Mwika Kusini,Sokony Juu
Lindi,80,53,Ruangwa,Narungombe,Kilimani Hewa
Singida,13,1,Iramba,Kinampanda,Ng'Ang'Uli
Arusha,2,5,Ngorongoro,Digodigo,Kirangi
Shinyanga,17,3,Shinyanga Rural,Mwantini,Ikombabuki
Mbeya,12,3,Kyela,Bujonde,Mpanda
Shinyanga,17,7,Shinyanga Urban,Ibadakuli,Usagara
Kilimanjaro,3,2,Mwanga,Chomvu,Ikamba
Kilimanjaro,3,4,Moshi Rural,Kirua Vunjo Magharibi,Lyambongo
Iringa,11,4,Njombe,Saja,Saja Kati
Ruvuma,10,3,Mbinga,Lituhi,Nkoma
Singida,13,3,Manyoni,Kilimatinde,Hinjiri
Mbeya,12,7,Mbarali,Chimala,Azimio
Mwanza,19,5,Kwimba,Mwagi,Nyegaga
Tabora,14,3,Uyui,Shitage,Shitage
Iringa,11,1,Iringa Rural,Mseke,Kilindi
Shinyanga,17,1,Bariadi,Nkololo,Mbugani
Arusha,2,2,Arusha Rural,Moivo,Lesimanga
Mara,20,4,Bunda,Nyamuswa,Kati
Mwanza,19,7,Missungwi,Idetemya,Kasenyi
Dodoma,1,4,Chamwino,Haneti,Ukombozi
Arusha,2,6,Longido,Olmolog,Imurutot
Arusha,2,5,Ngorongoro,Olgosorok,Loliondo
Iringa,11,3,Makete,Ipelele,Makeve
Mbeya,12,6,Mbozi,Ihanda,Namalema
Shinyanga,17,8,Kishapu,Lagana,Mbaragane
Mwanza,19,4,Ilemela,Nyakato,Kiligo
Singida,13,2,Singida Rural,Ngimu,Maswere
Mbeya,12,4,Rungwe,Kisondela,Isuba
Mbeya,12,4,Rungwe,Lutebe,Luteba
Singida,13,2,Singida Rural,Mudida,Muongozo
Mbeya,12,2,Mbeya Rural,Iwindi,Ilindi B
Ruvuma,10,1,Tunduru,Matemanga,Nasibu
Rukwa,15,2,Sumbawanga Rural,Msanzi,Mbuluma Kati
Morogoro,5,3,Kilombero,Lumemo,Muungano
Iringa,11,3,Makete,Mfumbi,Uyasimwa
Mbeya,12,4,Rungwe,Katumba,Mpunga
Mwanza,19,1,Ukerewe,Karenge,Chamlindi
Ruvuma,10,1,Tunduru,Nalasi,Kariakoo
Kigoma,16,2,Kasulu,Murufiti,Nyabuyange A
Mwanza,19,7,Missungwi,Usagara,Kaseni
Tabora,14,2,Igunga,Ngulu,Isundamawe
Iringa,11,4,Njombe,Wanging'ombe,Tambukareli
Rukwa,15,3,Nkasi,Mtenga,Nachimwene
Mbeya,12,6,Mbozi,Ruanda,Shikula
Shinyanga,17,6,Meatu,Mwabuma,Machimu
Mwanza,19,6,Geita,Kakora,Ihanamilo
Kagera,18,8,Chato,Bwera,Salugongo A
Pwani,6,4,Mkuranga,Nyamato,Kilamba Mjini
Tabora,14,3,Uyui,Ikongolo,Mwakitobi
Pwani,6,3,Kisarawe,Kisarawe,Bomani
Mwanza,19,4,Kwimba,Ng'hundi,Gatuli
Kilimanjaro,3,3,Same,Makanya,Mnazi
Kilimanjaro,3,3,Same,Bwambo,Mturo
Mtwara,90,63,Nanyumbu,Nangomba,Mwambani
Manyara,21,1,Babati,Dareda,Qatabadri
Morogoro,5,3,Kilombero,Mkula,Sonjo
Singida,13,1,Iramba,Mwangaza,Dominiki
Iringa,11,1,Iringa Rural,Mlowa,Majengo
Shinyanga,17,8,Kishapu,Songwa,Buchunga
Ruvuma,10,5,Namtumbo,Msindo,Madukani A
Shinyanga,17,8,Kishapu,Bubiki,Mwamang'Onda
Kagera,18,1,Karagwe,Ihanda,Ihanda 1
Iringa,11,4,Njombe,Mdandu,Shuleni
Kilimanjaro,3,7,Siha,Siha Kaskazini,Nrao Juu
Mwanza,19,4,Kwimba,Malya,Manguruma B
Iringa,11,7,Kilolo,Uhambingeto,Uhambule
Ruvuma,10,2,Songea Rural,Wino,Namba Nane
Kigoma,16,2,Kasulu,Muhinda,Bigara
Kilimanjaro,3,4,Moshi Rural,Marangu Mashariki,Konyiko B
Mbeya,12,5,Ileje,Mbebe,Ipanga
Morogoro,5,5,Morogoro Urban,Mazimbu,Lugala
Arusha,2,2,Arusha Rural,Mlangarini,Mlangarini Kati
Mbeya,12,4,Rungwe,Kandete,Mwela
Rukwa,15,2,Sumbawanga Rural,Milepa,Manengwe
Morogoro,5,1,Kilosa,Kibedya,Magoeko
Kagera,18,1,Karagwe,Kyerwa,Mukiyonza
Kilimanjaro,3,1,Rombo,Nanjara Reha,Marongota
Shinyanga,17,8,Kishapu,Mondo,Mondo
Tanga,4,8,Mkinga,Moa,Moa
Pwani,6,3,Kisarawe,Msimbu,Kuti Kavu
Kagera,18,1,Karagwe,Kibondo,Omubienje
Mbeya,12,2,Mbeya Rural,Igale,Ilangali
Kagera,18,1,Karagwe,Isingiro,Rushasha
Mbeya,12,7,Mbarali,Mapogoro,Ibohola
Ruvuma,10,2,Songea Rural,Gumbiro,Ngembambili C
Dar es Salaam,7,3,Temeke,Kimbiji,Parokiani Kimbiji
Kagera,18,3,Muleba,Kishanda,Ruhanga
Arusha,2,7,Meru,Nkoaranga,Nkoanekoli
Mbeya,12,5,Ileje,Chitete,Isundamba
Mara,20,3,Musoma Rural,Nyankanga,Central
Mwanza,19,4,Kwimba,Mwagi,Nyamiseli
Mbeya,12,7,Mbarali,Madibira,Mbuyuni
Shinyanga,17,1,Bariadi,Chinamili,Sagenge
Mbeya,12,6,Mbozi,Ndalambo,Ndalambo Kati
Shinyanga,17,3,Kahama,Bulungwa,Shaka A
Kilimanjaro,3,4,Moshi Rural,Kurua Vunjo Mashariki,Laso
Kagera,18,2,Bukoba Rural,Izimbya,Izimbya 'B'
Kilimanjaro,3,7,Siha,Siha Mashariki,Naweru
Mtwara,99,1,Mtwara Rural,Mayanga,Ritumbo
Mtwara,99,1,Mtwara Rural,Nanguruwe,Majengo
Iringa,11,4,Njombe,Usuka,Makambako
Kigoma,16,1,Kibondo,Misezero,Kumrama
Morogoro,5,1,Kilosa,Kisanga,Madizini
Mara,20,2,Serengeti,Machochwe,Kichongo
Mwanza,19,1,Ukerewe,Ilangala,Kinazi
Rukwa,15,2,Sumbawanga Rural,Kalambazite,Pasile
Kagera,18,1,Karagwe,Bugomora,Kakoma
Mbeya,12,6,Mbozi,Itaka,Shihando
Tanga,5,1,Kilindi,Kikunde,Walambe
Singida,13,3,Manyoni,Kilimatinde,Mabondeni
Rukwa,15,2,Sumbawanga Rural,Muze,Muze
Shinyanga,17,8,Kishapu,Songwa,Osterbayi
Morogoro,5,1,Kilosa,Rubeho,Minchenja A
Mwanza,19,4,Kwimba,Mwandu,Nyashimba
Morogoro,5,2,Morogoro Rural,Kisemu,Kangazi
Morogoro,5,1,Kilosa,Ulaya,Mlimawamakanda
Tanga,4,4,Tanga,Marungu,Geza Barabarani
Kigoma,16,3,Kigoma Rural,Mwandiga,Mgera B
Manyara,21,3,Mbulu,Maretadu,Gidqhwaje
